Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum51266	RING-like zinc finger
Breviolum172112	bile acid:sodium symporter activity
Breviolum20403	SNARE associated Golgi protein
Breviolum64634	FKBP-type peptidyl-prolyl cis-trans isomerase
Breviolum45292	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Breviolum86317	ABC transporter, ATP-binding protein
Breviolum239852	homoserine dehydrogenase activity
Breviolum85437	2-acylglycerol O-acyltransferase activity
Breviolum62855	fertilization
Breviolum122799	HD domain
Breviolum85387	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Breviolum46511	7-hydroxymethyl chlorophyll a reductase
Breviolum84459	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Breviolum83146	Beta-ketoacyl synthase
Breviolum36347	oxidoreductase activity
Breviolum96360	mitochondrial transport
Breviolum16902	mitogen-activated protein kinase
Breviolum210990	nucleic acid binding
Breviolum240241	endonuclease activity
Breviolum41108	Probable molybdopterin binding domain
Breviolum86837	O-methyltransferase
Breviolum240920	ATP-dependent DNA helicase CHR12
Breviolum182168	RNA polymerase II-associated protein 3 isoform X1
Breviolum148338	Catalyzes the interconversion of 2-phosphoglycerate and 3-phosphoglycerate
Breviolum275483	GTP-binding protein involved in nucleocytoplasmic transport. Required for the import of protein into the nucleus and also for RNA export. Involved in chromatin condensation and control of cell cycle
Breviolum180188	Belongs to the peptidase C1 family
Breviolum86875	collagen-activated tyrosine kinase receptor signaling pathway
Breviolum73415	PFAM Formylglycine-generating sulfatase enzyme
Breviolum53231	glycine hydroxymethyltransferase activity
Breviolum272336	phosphoenolpyruvate carboxykinase (ATP) activity
Breviolum25017	xanthine transmembrane transporter activity
Breviolum57413	sulfite oxidase
Breviolum174186	ATP synthase, Delta/Epsilon chain, beta-sandwich domain
Breviolum19588	RNase P subunit p30
Breviolum205409	DNA polymerase
Breviolum172722	RAP
Breviolum46779	S4 RNA-binding domain
Breviolum88881	oxidative phosphorylation uncoupler activity
Breviolum173827	Belongs to the peptidase C2 family
Breviolum60613	Organic solute transport protein 1
Breviolum54159	protein serine/threonine kinase activity
Breviolum117005	Sulfatase-modifying factor enzyme 1
Breviolum59021	metalloendopeptidase activity
Breviolum138056	UPF0613 protein
Breviolum3976	Endonuclease/Exonuclease/phosphatase family
Breviolum139626	glutamine synthetase
Breviolum205635	-
Breviolum215992	inner dynein arm assembly
Breviolum58222	catalytic domain of ctd-like phosphatases
Breviolum94611	methenyltetrahydrofolate cyclohydrolase activity
Breviolum182203	regulation of intraciliary retrograde transport
Breviolum56245	ER lumen protein retaining receptor
Breviolum59162	phosphatase
Breviolum53974	replication fork protection
Breviolum81728	U6 snRNA binding
Breviolum16577	Protein of unknown function (DUF521)
Breviolum127242	Protein of unknown function (DUF2009)
Breviolum282215	catechol-O-methyltransferase
Breviolum157367	2-hydroxyglutarate dehydrogenase activity
Breviolum108751	Ubiquitin-activating enzyme e1 C-terminal domain
Breviolum208718	Sugar (and other) transporter
Breviolum272557	Protein kinase domain
Breviolum108251	axoneme assembly
Breviolum161135	Belongs to the 14-3-3 family
Breviolum183811	Belongs to the ClpA ClpB family
Breviolum306728	Cyclin-dependent kinase inhibitor 3 (CDKN3)
Breviolum24204	protein kinase activity
Breviolum65214	metalloendopeptidase activity
Breviolum15254	Required during biogenesis of c-type cytochromes (cytochrome c6 and cytochrome f) at the step of heme attachment
Breviolum46566	water channel activity
Breviolum181703	Belongs to the DEAD box helicase family
Breviolum183883	protein serine/threonine kinase activity
Breviolum86281	Uncharacterised protein family (UPF0014)
Breviolum88514	Cationic amino acid transporter 9
Breviolum66824	hydroxymethylglutaryl-CoA synthase activity
Breviolum101851	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Breviolum49510	phosphate ion transport
Breviolum94395	Helicase associated domain (HA2)
Breviolum59039	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum58589	Cupin superfamily protein
Breviolum129850	ATP-grasp domain
Breviolum51295	synthase
Breviolum1665	Belongs to the thioredoxin family
Breviolum172453	Guanylate-binding protein, N-terminal domain
Breviolum121419	synthase
Breviolum95889	ATPase activity, coupled to transmembrane movement of substances
Breviolum157316	phosphatase
Breviolum19581	Belongs to the mitochondrial carrier (TC 2.A.29) family
Breviolum17014	N,N-dimethylaniline monooxygenase activity
Breviolum141059	IBR domain, a half RING-finger domain
Breviolum207451	Taurine catabolism dioxygenase TauD, TfdA family
Breviolum110497	Belongs to the eukaryotic ribosomal protein eL19 family
Breviolum109924	NAD-dependent protein deacetylase which modulates the activities of several proteins which are inactive in their acetylated form. Deacetylates the N-terminal lysine residue of Alba, the major archaeal chromatin protein and that, in turn, increases Alba's DNA binding affinity, thereby repressing transcription
Breviolum93359	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
Breviolum22476	nuclear import signal receptor activity
Breviolum21700	NUDIX domain
Breviolum245370	transportin 3
Breviolum46358	Forms part of the ribosomal stalk which helps the ribosome interact with GTP-bound translation factors. Is thus essential for accurate translation
Breviolum206154	aarF domain-containing protein kinase At1g71810
Breviolum112478	phosphoserine phosphatase
Breviolum271045	casein kinase ii
Breviolum237535	positive regulation of protein glycosylation in Golgi
Breviolum45804	COG2214 DnaJ-class molecular chaperone
Breviolum72852	S1 RNA binding domain
Breviolum124080	acid phosphatase activity
Breviolum70469	DNA polymerase
Breviolum128391	X-linked inhibitor of apoptosis
Breviolum117929	Belongs to the peptidase A1 family
Breviolum94529	sphingosine-1-phosphate phosphatase activity
Breviolum27528	SET domain
Breviolum144752	RNA binding
Breviolum50226	Dual-specificity protein phosphatase
Breviolum112513	ammonium transmembrane transporter activity
Breviolum122898	histone H2A
Breviolum281715	vesicle-mediated transport
Breviolum278109	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Breviolum274407	Belongs to the WD repeat SEC13 family
Breviolum127035	galactosylceramide catabolic process
Breviolum195342	Ketopantoate hydroxymethyltransferase
Breviolum177996	Phospholipid methyltransferase
Breviolum250245	50S ribosomal protein L18
Breviolum117529	It is involved in the biological process described with protein phosphorylation
Breviolum85126	protein tyrosine/serine/threonine phosphatase activity
Breviolum33832	short chain dehydrogenase
Breviolum159210	Phosphotransferase enzyme family
Breviolum103171	glutathione transferase activity
Breviolum16978	oxidoreductase activity
Breviolum193504	Reversibly catalyzes the transfer of phosphate between ATP and various phosphogens (e.g. creatine phosphate). Creatine kinase isoenzymes play a central role in energy transduction in tissues with large, fluctuating energy demands, such as skeletal muscle, heart, brain and spermatozoa
Breviolum75155	AAA domain (Cdc48 subfamily)
Breviolum160825	Histone-lysine n-methyltransferase
Breviolum42394	homolog subfamily B member 12
Breviolum44539	CDP-glycerol diphosphatase activity
Breviolum87415	protein kinase activity
Breviolum16386	dynein light chain binding
Breviolum3096	PPPDE putative peptidase domain
Breviolum40971	ATP-dependent Clp protease ATP-binding subunit clpA homolog CD4B
Breviolum45024	Calcineurin-like phosphoesterase
Breviolum125439	COG2217 Cation transport ATPase
Breviolum172092	galactosylceramidase
Breviolum210178	alpha-amylase
Breviolum53439	Pex2 / Pex12 amino terminal region
Breviolum75163	Belongs to the dihydroorotate dehydrogenase family. Type 2 subfamily
Breviolum206550	Sigma factor PP2C-like phosphatases
Breviolum109643	Belongs to the short-chain dehydrogenases reductases (SDR) family
Breviolum60540	Belongs to the pseudouridine synthase RsuA family
Breviolum278829	Proteasome subunit alpha type
Breviolum122469	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
Breviolum103611	GMC oxidoreductase
Breviolum76311	Belongs to the DEAD box helicase family
Breviolum74004	magnesium ion homeostasis
Breviolum54458	cyclin-dependent protein serine/threonine kinase activity
Breviolum110557	lectin protein kinase family
Breviolum15503	Utp21 specific WD40 associated putative domain
Breviolum88977	Protein of unknown function (DUF726)
Breviolum150432	Protein phosphatase, Mg2 Mn2 dependent
Breviolum104577	Pentatricopeptide repeat
Breviolum80511	cyclin-dependent protein serine/threonine kinase activity
Breviolum273730	ap-1 complex subunit gamma-1
Breviolum83031	Dual specificity phosphatase, catalytic domain
Breviolum37893	heme-transporting ATPase activity
Breviolum151461	Cationic amino acid transporter
Breviolum204997	Belongs to the mitochondrial carrier (TC 2.A.29) family
Breviolum54446	Atp dependent dna ligase
Breviolum94893	Geranylgeranyl diphosphate reductase
Breviolum93266	protease do-like
Breviolum211419	serine threonine protein kinase
Breviolum123433	Catalyzes the transfer of galactose onto proteins or lipids. Required for susceptibility to pore-forming crystal toxins in conjunction with bre-1, bre-2
Breviolum208478	calcium-dependent cysteine-type endopeptidase activity
Breviolum59853	Belongs to the mitochondrial carrier (TC 2.A.29) family
Breviolum246873	Amidohydrolase family
Breviolum93120	axoneme assembly
Breviolum15872	ADP-ribosylglycohydrolase
Breviolum135289	cysteine-type peptidase activity
Breviolum42749	Alpha beta hydrolase
Breviolum138442	Component of the ribosome assembly machinery. Nuclear paralog of the ribosomal protein P0, it binds pre-60S subunits at an early stage of assembly in the nucleolus, and is replaced by P0 in cytoplasmic pre-60S subunits and mature 80S ribosomes
Breviolum30828	calcium-dependent cysteine-type endopeptidase activity
Breviolum95351	It is involved in the biological process described with protein phosphorylation
Breviolum305891	protein folding
Breviolum79406	choline transmembrane transporter activity
Breviolum55568	protein ubiquitination
Breviolum95794	alpha-1,3-glucosidase activity
Breviolum14259	UDP-N-acetylhexosamine pyrophosphorylase. Source PGD
Breviolum178359	COG1819 Glycosyl transferases, related to UDP-glucuronosyltransferase
Breviolum31014	Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth
Breviolum150808	NFX1-type zinc finger-containing protein 1-like
Breviolum275414	adenine phosphoribosyltransferase activity
Breviolum148837	Transketolase, pyrimidine binding domain
Breviolum92548	Copine family member IX
Breviolum285090	ABC transporter G family
Breviolum281365	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Breviolum271088	ATPase activity, coupled to transmembrane movement of substances
Breviolum210280	Belongs to the eukaryotic ribosomal protein eS12 family
Breviolum91450	) H( ) antiporter that extrudes sodium in exchange for external protons
Breviolum29436	Calcineurin-like phosphoesterase superfamily domain
Breviolum51068	-
Breviolum51207	Alpha/beta hydrolase family
Breviolum22624	Possible lysine decarboxylase
Breviolum92896	serine-type exopeptidase activity
Breviolum51393	heat shock protein binding
Breviolum279704	histone peptidyl-prolyl isomerization
Breviolum242085	phosphate ion transport
Breviolum65097	Serine/Threonine protein kinases, catalytic domain
Breviolum215350	Acetyl-CoA carboxylase, central region
Breviolum133048	Ankyrin repeat
Breviolum308536	Asparaginase, N-terminal
Breviolum110313	Cobalamin synthesis protein cobW C-terminal domain
Breviolum204813	Belongs to the GST superfamily
Breviolum158342	xaa-Pro dipeptidase
Breviolum57835	Glucosidase II beta subunit-like
Breviolum281590	Dual specificity phosphatase, catalytic domain
Breviolum15470	callose synthase
Breviolum134459	Prolyl 4-hydroxylase alpha subunit homologues.
Breviolum93639	ribosomal protein
Breviolum64430	Solute carrier family 37
Breviolum38380	Protein tyrosine kinase
Breviolum56225	homolog subfamily C member 7
Breviolum118164	cAMP-dependent protein kinase catalytic subunit,putative
Breviolum32142	Scd6-like Sm domain
Breviolum211465	Non-ribosomal peptide synthetase modules and related proteins
Breviolum205881	1,4-alpha-glucan branching enzyme activity
Breviolum61730	nitrile biosynthetic process
Breviolum99792	4Fe-4S dicluster domain
Breviolum246251	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Breviolum158875	Ring finger domain
Breviolum81676	Belongs to the peptidase M18 family
Breviolum89781	alpha-galactosidase
Breviolum279951	nucleotide catabolic process
Breviolum150727	betaine-homocysteine S-methyltransferase activity
Breviolum102192	NADPH-dependent FMN reductase
Breviolum16178	3'(2'),5'-bisphosphate nucleotidase activity
Breviolum102692	Belongs to the 14-3-3 family
Breviolum64985	Calcium-dependent protein kinase
Breviolum141083	Nitrate reductase is a key enzyme involved in the first step of nitrate assimilation in plants, fungi and bacteria
Breviolum123507	Belongs to the AAA ATPase family
Breviolum80298	Sigma factor PP2C-like phosphatases
Breviolum274846	ATP binding
Breviolum241534	RNA uridylyltransferase activity
Breviolum271428	Peroxidase
Breviolum62239	taurine catabolism dioxygenase
